Topic Category,Disclosure Title,Disclosure Description,Sector,Subsector
Energy Management,Hardware Infrastructure Energy & Water Management,"The E-Commerce industry uses a large part of the energy it consumes to power critical hardware and IT infrastructure in data centres. Data centres must be powered continuously, and disruptions to the energy supply can have a material impact on
operations, depending on the disruption magnitude and timing. Entities also face a trade-off between energy and water consumption for their data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method can result in dependence on potentially scarce local water resources. Entities that effectively manage this issue may benefit from cost savings and minimise reputational risks, because concerns over energy and water use are growing.
More",Consumer Goods,E-Commerce
Customer Privacy,Data Privacy & Advertising Standards,"Entities in the E-Commerce industry have access to consumer information including financial information, purchase history and basic demographic data. Entities must carefully manage two separate and often conflicting priorities. Entities compete by
leveraging data to provide users with relevant services and target advertising or product recommendations based on consumers’ preferences and behaviour patterns, but their access to a range of user data may raise privacy concerns among users and the public at large. These privacy concerns can result in increased regulatory scrutiny. Failure to manage the issue can result in incremental costs associated with managing regulatory and reputational risks. Furthermore, effective management in this area can increase user confidence and loyalty, which are particularly important to maintain market share.
More",Consumer Goods,E-Commerce
Data Security,Data Security,"The business models of entities in the E-Commerce industry depend on an entity’s ability to securely process electronic payments. As consumers become more educated about the threats of cybercrime, their perceptions of an entity’s cybersecurity will
become increasingly important to maintain or gain market share. The most trusted brands have an opportunity to position themselves favourably in the eyes of consumers and gain a significant competitive advantage. Conversely, entities that are perceived to be vulnerable to cybersecurity breaches may experience financial consequences in the form of fines, litigation and decreased market share.
More",Consumer Goods,E-Commerce
"Employee Engagement, Diversity & Inclusion","Employee Recruitment, Inclusion & Performance","Employees are essential contributors to value creation in the E-Commerce industry. In important markets, a shortage of technically skilled domestic workers has created intense competition to acquire such employees, contributing to high turnover
rates. This competition for skilled workers and the search for innovative opportunities presents several interrelated sustainability challenges regarding human capital that entities must manage. Entities offer significant monetary and nonmonetary benefits to improve employee engagement, retention and productivity. Initiatives to improve employee engagement and work-life balance might positively influence the recruitment and retention of a diverse workforce. Efforts to recruit from and develop globally diverse talent pools can serve to address skilled worker shortages and improve the value of entity offerings more generally. Greater workforce diversity is important for innovation, and it helps entities understand the needs of their diverse and global customer base.
More",Consumer Goods,E-Commerce
Product Design & Lifecycle Management,Product Packaging & Distribution,"A significant part of the E-Commerce industry’s added value comes from an entity’s ability to move a wide array of goods efficiently to consumers who would otherwise have to personally travel to collect the goods from brick-and-mortar stores. As the
volume of packaging shipments increases, the industry may become more exposed to environmental externalities, such as carbon pricing and rising fuel costs that present risks associated with the shipping of products. While entities that outsource shipping and logistics have less control over the specific processes of shipping operations, they still can select suppliers with more energy-efficient business practices. Because this is a highly competitive and low-margin industry, the ability to reduce shipping costs through fuel reduction and more efficient routing may permit entities to pass those savings on to their customers. E-commerce entities also have an incentive to minimise the use of packaging. Efficient packaging can decrease costs by reducing the amount of purchased packaging material, as well as saving logistics costs because more products may fit into a single shipping load.
More",Consumer Goods,E-Commerce
Water & Wastewater Management,Water Management,"Water is vital to the Household & Personal Products industry, both as a coolant in manufacturing processes and as a main input for many of the industry’s products. Water is becoming a scarce resource around the world because of population growth and
increasing consumption, rapid urbanisation, and declining supplies because of subsurface aquifer depletion, drought and climate change. Many entities in this industry have operations in regions of the world facing water scarcity. Without careful planning, entities could face increased costs or lose water access in these regions, which may be a risk to production. Having rigorous checks in place to ensure a steady supply of water to all factories, as well as investing in technology to increase water use efficiency, will help entities reduce water-related risks as water scarcity becomes an increasingly global issue.
More",Consumer Goods,Household & Personal Products
Product Quality & Safety,"Product Environmental, Health and Safety Performance","The Household & Personal Products industry faces consumer and regulatory scrutiny over the use of chemicals of concern, which have been linked to adverse effects on human health and the environment. These chemicals include persistent, bioaccumulative
and toxic (PBT) substances and carcinogenic, mutagen or teratogenic chemicals. Isolating and determining causal channels for negative impacts on health and the environment is difficult, which often results in a significant delay between a product’s market introduction and the point at which regulation or public opinion demands entities in the industry to reformulate harmful chemicals. Applicable jurisdictional laws and regulations place restrictions on, or suggest alternatives to, the use of harmful chemicals within the industry. Large retailers have implemented programmes to ban chemicals of concern in the products they sell, placing greater pressure on the industry. Entities that anticipate the changing regulatory landscape and implement stricter processes and testing are more likely to gain a competitive advantage. Early adopters of innovations in green chemistry and the reduction of chemicals of concern may improve profitability by being better able to capture changing customer demand and avoid regulatory burdens.
More",Consumer Goods,Household & Personal Products
Product Design & Lifecycle Management,Packaging Lifecycle Management,"The Household & Personal Products industry uses a large quantity of materials for product packaging, which often constitutes a significant portion of entities’ expenses. Packaging design, particularly packaging weight, has direct consequences for
transportation expenses, which can be significant. The industry also faces pressure from both consumers and large retail outlets to manage the negative environmental externalities associated with packaging because of material extraction and waste. The sustainability performance of packaging depends largely on the type, use and ultimate disposal of materials. However, entities that effectively manage the sustainability characteristics of their product packaging—including developing light-weight, using recycled content and recyclable materials and adopting sustainably sourced materials—may be positioned better to capture shifting consumer demand and avoid (or mitigate) the effects of regulation related to extended producer responsibility. By managing the sustainability of product packaging, entities also potentially can reduce input and transportation costs.
More",Consumer Goods,Household & Personal Products
Supply Chain Management,Environmental & Social Impacts of Palm Oil Supply Chain,"Palm oil has increased in popularity as a cheap input for a wide range of goods in the Household & Personal Products industry, including cleaning products, candles and cosmetics. Palm oil harvesting in specific regions of the world may contribute to
deforestation, GHG emissions and other environmental and social problems. If not sourced responsibly, palm oil materials contribute to environmental and social externalities that can present reputational and regulatory risks for entities. Furthermore, entities in this industry are exposed to the risk of supply chain disruptions, input price increases and reputational damage associated with environmental and social externalities from palm oil sourcing. Entities face pressure to track and responsibly source palm oil and ensure minimum working condition standards in the supply chain, because palm oil production often is associated with labour issues. Implementing sourcing standards can reduce these risks, as can product-design phase innovations to reduce dependence on controversial materials such as palm oil.
More",Consumer Goods,Household & Personal Products
Energy Management,Energy Management in Retail & Distribution,"Entities in this industry require significant amounts of energy for retail facilities and warehouses. An increasing number of greenhouse gas (GHG) emissions regulations and incentives for energy efficiency and renewable energy may result in price
increases for conventional electricity sources while making alternative sources more cost-competitive. Fossil fuel-based energy production and consumption contribute to significant environmental impacts, including climate change and pollution. Energy sourcing decisions can create trade-offs related to energy supply costs and operational reliability. Overall energy efficiency and access to alternative energy sources are becoming increasingly important for entities to manage. Efficiency in this area can have financial implications through direct cost savings, which are particularly beneficial in this low-margin industry.
More",Consumer Goods,Multiline and Specialty Retailers & Distributors
Data Security,Data Security,"Consumers trust retail entities with their financial and personal data every time they make a noncash transaction with a credit or debit card or other method. Credit cards and debit cards have eclipsed cash and cheques as consumers’ preferred payment
methods in many jurisdictions around the world. In these noncash transactions, retailers build up a relationship of trust with consumers, assuring them of the safety of their personal information. Data breaches can occur both through breaches of the physical payment technology, called point-of-sales breaches, as well as through cyber-attacks. As consumers become more educated about the threats of cybercrime, their perceptions of an entity’s cybersecurity will become increasingly important to maintain or gain market share. Retailers that prevent major data breaches also can avoid harming brand value and reduce liabilities.
More",Consumer Goods,Multiline and Specialty Retailers & Distributors
Labour Practices,Labour Practices,"The retail industry’s significance to the global economy as a major employer often puts it at the centre of public labour-practice discussions. These discussions can have serious reputational implications for entities in the industry if their labour
practices are poor. The low average wages typical of the industry, which help entities maintain low prices on products, may increase these labour-related risks. Since customers regularly interact directly with retail employees, entities may experience decreased market share and revenue from negative consumer sentiment because of poor labour relations. Entities can enhance labour productivity and employee engagement by taking a long-term approach to managing workers in areas such as compensation and workers’ rights. In addition to mitigating risks, improvements in labour productivity may strengthen an entity’s reputation and reduce its cost of capital.
More",Consumer Goods,Multiline and Specialty Retailers & Distributors
"Employee Engagement, Diversity & Inclusion",Workforce Diversity & Inclusion,"The Multiline and Specialty Retailers & Distributors industry is consumer-facing and relies on communicating effectively with customers during the sales process and adapting to changing consumer demands for products. As many developed markets undergo
massive demographic shifts, including increases in minority populations, entities in this industry can benefit from ensuring that their culture and hiring and promotion practices embrace building a diverse workforce for management and junior staff. Retailers that respond to this demographic shift and employ staff who can recognise the needs of diverse populations may be better positioned to capture demand from consumer markets whose members have traditionally been overlooked, providing entities a competitive advantage. Furthermore, such entities may benefit from improved reputations among consumers, as well as decreased legal and regulatory risks.
More",Consumer Goods,Multiline and Specialty Retailers & Distributors
Product Design & Lifecycle Management,"Product Sourcing, Packaging & Marketing","Entities in the Multiline and Specialty Retailers & Distributors industry sell a wide array of products including electronics, clothing, furnishings and cosmetics, all of which have environmental and social impacts throughout their lifecycles. The
size and buying power of many entities in this industry allow them to work with their suppliers to source products and packaging with lower lifecycle environmental and social impacts. Entities that perform well in this regard may benefit from increased customer demand and improved margins. To take a proactive approach to engaging suppliers, entities in the industry may employ strategies such as using certification standards and reducing the environmental impacts of packaging.
More",Consumer Goods,Multiline and Specialty Retailers & Distributors
Product Quality & Safety,Chemical & Safety Hazards of Products,"Consumers and regulators expect the Toys & Sporting Goods industry to ensure its products are safe. Whether introduced by design or poor oversight of supply chains, the presence of harmful chemicals in products can have long-term effects on
children’s development and health. Faulty or poorly designed products can also create choking, fire or other hazards, which can result in injury or death. The Toys & Sporting Goods industry is subject to extensive product safety regulation to protect children, and evolving science on the safety of certain chemicals will probably lead to additional restrictions. Failure to create products that are safe for consumers may lead to increased regulatory oversight and affect an entity’s social licence to operate. Furthermore, improper product safety testing or evaluation can result in costly recalls, litigation or reputational damage that can affect sales. Entities that effectively manage the design and manufacturing phases to reduce the use of harmful chemicals while eliminating others can mitigate safety risks, potentially improving brand reputation and reducing the cost of capital.
More",Consumer Goods,Toys & Sporting Goods
Supply Chain Management,Labour Conditions in the Supply Chain,"Labour conditions and the treatment of workers in the industry’s manufacturing supply chain are points of concern for consumers, regulators and entities. Labour issues include worker health and safety standards, compensation, excessive working hours
and risks related to discrimination and forced labour. The industry is exposed to these issues because of its reliance on third-party manufacturing where labour standards and regulation enforcement may be weak. Entities also contract with numerous suppliers, adding complexity and transparency challenges. Failure to manage labour conditions can result in supply disruptions, reputational damage and increased regulation and enforcement in response to high-profile safety or labour incidents, strikes and work stoppages, and shifts in consumer demand. Entities that engage with suppliers through audits, partnerships and increased oversight may be better able to pre-empt and react more quickly to labour issues. Entities that effectively manage this issue can protect brand value and reduce their cost of capital.
More",Consumer Goods,Toys & Sporting Goods
GHG Emissions,Greenhouse Gas Emissions,"Coal operations are energy intensive and generate significant direct greenhouse gas (GHG) emissions, including carbon dioxide from fuel use and methane released from coal beds during mining and post-mining activities. Regulatory efforts to reduce GHG
emissions in response to the risks posed by climate change may result in higher operating and capital expenditures based on the magnitude of their direct emissions. Operational efficiencies can be achieved through the cost-effective reduction of GHG emissions. Such efficiencies can mitigate the potential financial impact of increased fuel costs from regulations that limit—or put a price on—GHG emissions.
More",Extractives & Minerals Processing,Coal Operations
Water & Wastewater Management,Water Management,"Coal operations have an impact on both the quality and quantity of local water resources. Coal operations are water intensive. The use of water in coal washing to remove sulphur, cool drilling equipment and transport coal in slurry pipelines can
impact resources. The severity of these risks can vary depending on the region’s water availability and the regulatory environment. Reducing water use and contamination also could create operational efficiencies for entities and lower their operating costs. Wastewater treatment and discharge often is regulated by jurisdictional authorities. Violating limits on selenium, sulphate and dissolved solids could affect coal operations entities through significant penalties, compliance costs, delays in production or higher costs related to mine closure.
More",Extractives & Minerals Processing,Coal Operations
Waste & Hazardous Materials Management,Waste Management,"The Coal Operations industry generates large volumes of mineral and non-mineral waste, including process refuse, liquid coal waste, and solid rock and clay waste, which may contain toxic elements such as mercury, arsenic or cadmium. Waste produced
during coal mining and processing operations can, depending on its type, be treated, discarded, or stored off- or on-site, in impoundments or disused mine pits. Improper disposal or storage of hazardous materials or mining waste can present significant long-term threats to human health and ecosystems through potential contamination of groundwater or surface water used for drinking or agriculture, posing operational and regulatory challenges for entities. Entities that reduce waste streams, effectively manage risks related to waste containing heavy metals and maintain rigorous hazardous waste disposal practices may reduce regulatory and litigation risks, remediation liabilities and operating costs.
More",Extractives & Minerals Processing,Coal Operations
Ecological Impacts,Biodiversity Impacts,"Coal operations can have a range of impacts on biodiversity. Surface mining and mountaintop removal can alter the landscape, removing vegetation and wildlife habitats. A particularly concerning effect of coal operations is acid rock drainage, in
which surface and shallow subsurface water encounters coal mining overburden, contaminating the water with heavy metals and rendering it highly acidic, with harmful effects on humans, animals and vegetation. Biodiversity impacts of coal operations can affect the valuation of reserves and create operational risks. Because of increasing interest in the protection of ecosystems, the environmental characteristics of the land where reserves are located may lead to higher extraction costs. Entities might also face regulatory or reputational barriers to accessing reserves in ecologically sensitive areas, such as new protection status afforded to areas where reserves are located. Coal operations entities face regulatory risks related to reclamation after a mine is decommissioned, in accordance with applicable regulatory requirements to restore mined property according to a prior, approved reclamation plan. Material costs may arise from removing or covering refuse piles, fulfilling water treatment obligations and dismantling infrastructure at decommissioning. Furthermore, coal operations are subject to laws protecting endangered species. Entities with an effective environmental management plan for each stage of the project lifecycle may minimise their compliance costs and legal liabilities, face less resistance in developing new mines, avert delays in project completion, and avoid difficulties in obtaining permits, accessing reserves and completing projects.
More",Extractives & Minerals Processing,Coal Operations
Human Rights & Community Relations,Rights of Indigenous Peoples,"Entities in the Coal Operations industry can operate and hold assets in areas occupied by indigenous peoples. Entities perceived as contributing to human rights violations or failing to account for indigenous peoples’ rights may be affected by
protests, riots or suspension of permits. These entities could face substantial costs related to compensation or settlement payments, and write-downs in the value of their reserves in such areas. In the absence of applicable jurisdictional laws or regulations to address such cases, several international instruments have emerged to provide guidelines for entities. These instruments include obtaining the free, prior and informed consent of indigenous peoples for decisions that affect them. Several countries have implemented specific laws protecting indigenous peoples’ rights, creating increasing regulatory risk for entities that violate those rights.
More",Extractives & Minerals Processing,Coal Operations
Human Rights & Community Relations,Community Relations,"Coal operations take place over many years and can have a wide range of adverse effects on communities. Community rights and interests may be affected by the environmental and social impacts of operations, air emissions, waste generation, wastewater
discharges and decommissioning activities. Entities often need support from local communities to obtain permits and leases and conduct their activities without disruptions. The expected value of reserves could be affected if the community interferes or lobbies its government to interfere with the rights of a coal entity to extract those reserves. In addition to community concerns about the direct impacts of projects, the presence of coal mining activities may create associated socioeconomic concerns related to education, health and livelihoods. Coal entities that engage in rent-seeking and exploiting a community’s resources without providing proportional socioeconomic benefits in return may be exposed to actions by host governments and communities that restrict their activities or impose additional costs. Entities in the extractives industries can adopt various community engagement strategies in their global operations to manage risks and opportunities associated with community rights and interests, such as integrating community engagement into each phase of the project cycle. Entities that adopt a ‘shared value’ approach may be able to provide significant socioeconomic benefits to communities and allow them to operate profitably.
More",Extractives & Minerals Processing,Coal Operations
Labour Practices,Labour Relations,"Working conditions related to coal operations are usually physically demanding and hazardous. Labour unions play an important role in representing workers’ interests and managing collective bargaining for better wages and working conditions. This
makes the management of labour relations critical, since conflict with workers can result in labour strikes and other disruptions that can delay or stop production, leading to lost revenue and reputational damage. Persistent labour disputes can adversely affect the long-term profitability of the entity.
More",Extractives & Minerals Processing,Coal Operations
Employee Health & Safety,Workforce Health & Safety,"Safety is critical to coal mining operations because of the hazardous working conditions involved. Fatalities and injuries can result from the many hazards associated with the industry, including accidents, cave-ins, explosions and flooding. Because
of these hazards, the industry is characterised by higher-than-average mortality and injury rates. Coal miners are also susceptible to long-term health risks such as chronic lung disease as well as mental health problems. Some jurisdictional health and safety laws protect coal mining workers and may provide compensation for work-related chronic illnesses that can impose additional costs on entities or result in regulatory penalties. An entity’s ability to protect employee health and safety, and to create a culture of safety and well-being among employees, may prevent accidents, mitigate costs, reduce operational downtime and enhance workforce productivity.
More",Extractives & Minerals Processing,Coal Operations
Business Model Resilience,Reserves Valuation & Capital Expenditures,"Coal entities may be unable to extract a significant proportion of their coal reserves if greenhouse gas (GHG) emissions are controlled to limit global temperature increases. Stewardship of capital resources while considering medium- to long-term
trends, particularly related to climate change mitigation actions, is critical to prevent asset impairment and maintain profitability and creditworthiness. Globally, regulations and policies are and may continue to be put into place to limit GHG emissions from coal-fired power plants—the customers of coal entities—thus reducing demand for and the price of coal. Coal demand also is being affected by regulations governing other harmful air emissions that apply to coal-fired power plants. An expansion of GHG-mitigation regulations may increase the magnitude of potential financial impacts in the medium to long term. Along with improved competitiveness of alternative energy technologies, these jurisdictional regulations and policies pose long-term risks for the reserves and capital investments of coal operations entities.
More",Extractives & Minerals Processing,Coal Operations
Critical Incident Risk Management,Tailings Storage Facilities Management,"Coal waste impoundments or fine coal refuse ponds, also called tailings storage facilities (TSFs), can leak and contaminate water supplies if mismanaged, potentially leading to adverse impacts on the environment and human health. These impacts may
carry financial implications such as regulatory penalties, compensation payments, and remediation or compliance obligations. Entities’ ability to reduce the number and size of fine coal refuse ponds and ensure the structural integrity of impoundments can minimise such impacts. A catastrophic failure of such facilities (for example, a dam failure) could still release significant volumes of waste and materials that are harmful to the environment, leading to severe impacts on ecosystems, human livelihood, and local economies and communities. Such catastrophic incidents may result in significant financial losses for entities and may impair their social licence to operate. Robust processes and approaches to tailings facility design, management, operation and closure, as well as appropriate management of associated risks, can help prevent such incidents from occurring. Entities that adopt robust practices to maintain the safety of TSFs may do so through ensuring accountability for tailings management at the highest levels of the entity, conducting frequent internal and external independent technical reviews of TSFs, and ensuring mitigation measures are implemented in a timely manner in case of a safety concern. Additionally, a strong safety culture and well-established emergency preparedness and response plans can mitigate the impacts and financial implications of such events. Entity obligations related to long-term remediation and compensation for damages may result in additional financial effects in case of failure. An entity’s ability to meet such obligations after an incident has occurred is an additional component of emergency preparedness.
More",Extractives & Minerals Processing,Coal Operations
GHG Emissions,Greenhouse Gas Emissions,"The production of construction materials, particularly cement, generates significant direct greenhouse gas (GHG) emissions from on-site fuel combustion and chemical processes. The industry has achieved efficiency gains in reducing emissions per tonne
of materials produced. At the same time, increasing production is associated with increasing absolute emissions from cement production. The production of construction materials remains carbon-intensive relative to other industries, exposing the industry to higher operating and capital expenditures from emissions regulations. Strategies to reduce GHG emissions include energy efficiency, use of alternative and renewable fuels, carbon sequestration and clinker substitution. Operational efficiencies can be achieved through the cost-effective reduction of GHG emissions. Such efficiencies can mitigate the potential financial impact of increased fuel costs as well as direct emissions from regulations that limit—or put a price on—GHG emissions.
More",Extractives & Minerals Processing,Construction Materials
Air Quality,Air Quality,"On-site fuel combustion and production processes in the Construction Materials industry emit criteria air pollutants and hazardous chemicals, including small quantities of organic compounds and heavy metals. Emissions of particular concern include
nitrogen oxides, sulphur dioxides, particulate matter, heavy metals (for example, mercury), dioxins and volatile organic compounds, among others. These air emissions can have significant, localised human health and environmental impacts. Financial impacts resulting from air emissions will vary depending on the specific location of operations and the applicable air emissions regulations, but they could include higher operating or capital expenditures and regulatory or legal penalties. Active management of the issue—through technological and process improvements—may allow entities to limit the impact of regulations and benefit from operational efficiencies that could lead to a lower cost structure over time.
More",Extractives & Minerals Processing,Construction Materials
Energy Management,Energy Management,"The production of construction materials requires significant energy, sourced primarily from direct fossil fuel combustion as well as from purchased electricity. Energy-intense production has implications for climate change, and electricity purchases
from the grid can create indirect Scope 2 emissions. Construction materials entities also use alternative fuels for kilns, such as scrap tyres and waste oil—often waste generated by other industries. If properly managed, these can lower energy costs and greenhouse gas (GHG) emissions. However, potentially negative impacts could occur, such as releases of harmful air pollutants that entities need to minimise to obtain net benefits from using such fuels. Decisions about use of alternative fuels, renewable energy and on-site generation of electricity (versus purchases from the grid) can be important in influencing both the costs and reliability of energy supply. Affordable, easily accessible and reliable energy is an important competitive factor in this industry, with purchased fuels and electricity accounting for a significant proportion of total production costs. How a construction materials entity manages energy efficiency, reliance on different types of energy and associated sustainability risks, and access to alternative sources of energy may influence its profitability.
More",Extractives & Minerals Processing,Construction Materials
